City,Neighborhood,Listing_Type,Property_Type,Bedrooms,Bathrooms,Size_m2,Has_Pool,Has_Garden,Is_Furnished,Latitude,Longitude,Price_MAD
Casablanca,Maârif,Rent,Studio,1,1,53,0,0,0,33.58605,-7.55934,3948
Marrakech,Hivernage,Rent,Apartment,4,1,146,0,0,1,31.63508,-7.96089,19374
Casablanca,Bourgogne,Rent,Studio,1,1,43,0,0,0,33.56371,-7.57895,3221
Casablanca,Anfa,Rent,Apartment,2,3,137,0,0,0,33.52085,-7.57079,14703
Marrakech,Sidi Ghanem,Buy,Apartment,3,1,117,0,0,1,31.61134,-8.00935,1209281
Casablanca,Anfa,Buy,Apartment,4,2,103,0,0,0,33.62429,-7.58192,1573435
Marrakech,Medina,Buy,Apartment,2,1,108,0,0,0,31.61749,-7.98693,1119794
Rabat,Océan,Buy,Apartment,3,1,153,0,0,0,34.01023,-6.84171,1820777
Casablanca,Hay Mockh,Rent,Villa,3,6,500,1,1,1,33.57728,-7.62899,82665
Rabat,Océan,Rent,Studio,1,1,36,0,0,1,34.02527,-6.82396,3806
Casablanca,Anfa,Rent,Apartment,3,1,169,0,0,0,33.57079,-7.59582,18506
Casablanca,Hay Mockh,Rent,Studio,1,1,38,0,0,0,33.54617,-7.60741,3065
Rabat,Hay Riad,Rent,Studio,1,1,41,0,0,0,34.00736,-6.82937,3879
Rabat,Agdal,Buy,Riad,7,3,746,1,0,0,34.03879,-6.8265,12194037
Marrakech,Medina,Rent,Apartment,2,1,165,0,0,0,31.63613,-7.96159,11159
Rabat,Hassan,Rent,Apartment,3,1,87,0,0,1,34.04449,-6.85956,8715
Rabat,Hay Riad,Buy,Apartment,4,2,110,0,0,1,34.02813,-6.8545,1834961
Tangier,Centre Ville,Buy,Studio,1,1,38,0,0,0,35.82695,-5.85241,337043
Rabat,Océan,Rent,Apartment,3,3,111,0,0,0,34.02264,-6.84758,8015
Marrakech,Sidi Ghanem,Buy,Land,0,0,1110,0,0,0,31.61881,-8.011,9333858
Casablanca,Maârif,Rent,Apartment,2,1,140,0,0,0,33.55693,-7.59984,12162
Tangier,Malabata,Buy,Villa,6,5,679,1,1,1,35.76464,-5.82771,12469182
Casablanca,Maârif,Buy,Villa,8,6,473,1,1,0,33.55906,-7.59635,8334404
Rabat,Hassan,Buy,Studio,1,1,35,0,0,0,33.9678,-6.83469,363602
Rabat,Océan,Rent,Apartment,2,3,176,0,0,0,34.01767,-6.83352,13249
Rabat,Océan,Buy,Apartment,4,1,79,0,0,0,34.02053,-6.87507,834392
Marrakech,Sidi Ghanem,Rent,Apartment,4,1,136,0,0,0,31.6307,-7.93184,8666
Casablanca,Maârif,Rent,Studio,1,1,59,0,0,0,33.56161,-7.59823,4710
Rabat,Hay Riad,Buy,Apartment,2,1,172,0,0,1,34.04376,-6.82656,2557187
Casablanca,Maârif,Buy,Apartment,4,2,164,0,0,0,33.6012,-7.56195,1982080
Marrakech,Hivernage,Rent,Studio,1,1,51,0,0,0,31.60969,-7.99243,4538
Marrakech,Medina,Buy,Riad,7,6,633,1,1,1,31.62968,-7.98841,9904844
Marrakech,Medina,Buy,Apartment,3,3,143,0,0,0,31.61111,-7.9501,1554904
Tangier,Malabata,Rent,Apartment,2,1,68,0,0,0,35.75237,-5.82288,5894
Marrakech,Sidi Ghanem,Buy,Villa,4,2,272,1,1,0,31.59735,-7.97741,4023558
Casablanca,Maârif,Buy,Land,0,0,1860,0,0,0,33.5443,-7.56599,17317497
Rabat,Agdal,Buy,Land,0,0,1152,0,0,0,34.02591,-6.83467,10425572
Marrakech,Medina,Rent,Apartment,4,2,87,0,0,1,31.63403,-7.96415,7139
Tangier,Centre Ville,Rent,Villa,6,5,394,0,1,1,35.79682,-5.82452,48838
Rabat,Hassan,Rent,Riad,6,5,255,1,1,0,34.00588,-6.86421,39269
Tangier,Marshane,Buy,Studio,1,1,55,0,0,1,35.77594,-5.79606,500710
Marrakech,Hivernage,Rent,Apartment,2,3,117,0,0,0,31.64707,-7.98589,11766
Marrakech,Medina,Buy,Villa,6,3,277,1,1,1,31.62421,-7.9267,4230413
Casablanca,Maârif,Buy,Apartment,4,3,167,0,0,0,33.57394,-7.59255,1874585
Casablanca,Anfa,Buy,Land,0,0,440,0,0,0,33.56863,-7.57552,5340520
Tangier,Moujahidine,Buy,Apartment,3,1,170,0,0,0,35.75045,-5.81846,1494839
Casablanca,Anfa,Buy,Apartment,3,1,109,0,0,0,33.57738,-7.61471,1990937
Tangier,Marshane,Buy,Villa,6,6,698,0,1,0,35.76412,-5.85018,10456356
Casablanca,Bourgogne,Rent,Apartment,4,3,67,0,0,1,33.58026,-7.57858,7242
Casablanca,Maârif,Buy,Apartment,4,2,124,0,0,1,33.5912,-7.60188,1633390
Marrakech,Guéliz,Buy,Land,0,0,1140,0,0,0,31.6398,-7.90405,9664090
Casablanca,Anfa,Buy,Riad,3,6,269,1,0,0,33.57775,-7.58628,7267365
Marrakech,Sidi Ghanem,Rent,Apartment,4,1,139,0,0,0,31.61979,-7.97946,9663
Rabat,Souissi,Buy,Apartment,2,3,151,0,0,0,34.01261,-6.84,1507307
Rabat,Hassan,Buy,Apartment,2,3,142,0,0,0,34.02219,-6.86315,1646345
Rabat,Agdal,Rent,Villa,3,5,776,1,1,0,34.06868,-6.80473,92781
Marrakech,Sidi Ghanem,Buy,Land,0,0,643,0,0,0,31.589,-7.97737,5447687
Marrakech,Medina,Rent,Apartment,2,1,107,0,0,0,31.61406,-7.94787,7000
Tangier,Marshane,Rent,Apartment,4,3,127,0,0,0,35.79481,-5.8259,7864
Rabat,Agdal,Rent,Studio,1,1,60,0,0,1,34.02845,-6.80857,5980
Rabat,Agdal,Buy,Apartment,2,3,130,0,0,0,34.04624,-6.85575,1291116
Rabat,Océan,Rent,Apartment,2,3,103,0,0,0,34.01615,-6.80416,7103
Rabat,Océan,Buy,Apartment,3,2,175,0,0,1,34.01585,-6.86656,1934909
Casablanca,Maârif,Buy,Villa,8,5,483,0,1,0,33.57053,-7.59911,9015362
Marrakech,Medina,Buy,Land,0,0,430,0,0,0,31.60987,-7.97186,3144551
Tangier,Moujahidine,Buy,Apartment,4,1,74,0,0,0,35.77244,-5.83148,676053
Marrakech,Sidi Ghanem,Rent,Villa,3,4,796,1,1,0,31.67216,-8.02014,94224
Casablanca,Sidi Maârouf,Rent,Studio,1,1,41,0,0,1,33.56337,-7.58565,4109
Casablanca,Sidi Maârouf,Buy,Apartment,2,3,91,0,0,1,33.56131,-7.57281,1054788
Rabat,Océan,Buy,Villa,6,6,358,1,1,0,34.02814,-6.82997,6583741
Marrakech,Hivernage,Rent,Apartment,3,1,82,0,0,1,31.64445,-7.96889,11471
Rabat,Hassan,Buy,Apartment,4,3,163,0,0,0,34.00752,-6.81836,1947469
Marrakech,Guéliz,Buy,Apartment,3,1,169,0,0,0,31.64601,-7.96483,1555855
Marrakech,Palmeraie,Buy,Villa,5,4,433,0,1,1,31.61904,-7.96212,10017328
Tangier,Marshane,Rent,Apartment,3,1,158,0,0,0,35.76598,-5.8366,10334
Tangier,Marshane,Buy,Villa,3,2,467,0,1,1,35.72366,-5.84294,6233323
Rabat,Agdal,Buy,Studio,1,1,33,0,0,1,34.03338,-6.82903,379233
Rabat,Souissi,Buy,Apartment,3,3,125,0,0,0,33.9791,-6.80619,1481618
Marrakech,Medina,Rent,Apartment,2,3,115,0,0,0,31.63776,-7.99237,8240
Marrakech,Medina,Rent,Apartment,3,1,145,0,0,1,31.62083,-7.97702,14044
Rabat,Agdal,Buy,Apartment,4,2,124,0,0,0,33.99194,-6.86975,1449331
Tangier,Marshane,Buy,Land,0,0,924,0,0,0,35.74622,-5.8068,6098622
Rabat,Océan,Buy,Villa,4,3,630,1,1,0,34.03805,-6.8448,9863351
Marrakech,Sidi Ghanem,Buy,Apartment,4,2,111,0,0,1,31.61585,-7.98206,1071565
Casablanca,Sidi Maârouf,Rent,Villa,5,3,640,1,1,1,33.58349,-7.55915,113329
Rabat,Hassan,Rent,Apartment,3,2,146,0,0,0,34.01404,-6.83245,11964
Tangier,Centre Ville,Rent,Studio,1,1,51,0,0,0,35.76398,-5.83375,2799
Rabat,Agdal,Buy,Land,0,0,1776,0,0,0,34.06642,-6.83348,16240663
Marrakech,Medina,Buy,Villa,4,3,350,0,1,0,31.64695,-7.97743,4863627
Tangier,Malabata,Rent,Studio,1,1,44,0,0,0,35.75728,-5.81447,3784
Marrakech,Palmeraie,Rent,Apartment,3,2,91,0,0,0,31.58702,-7.99162,9067
Casablanca,Maârif,Rent,Studio,1,1,54,0,0,0,33.53485,-7.58255,4591
Marrakech,Sidi Ghanem,Buy,Apartment,3,1,131,0,0,0,31.6031,-7.94447,1423374
Casablanca,Hay Mockh,Buy,Apartment,2,2,145,0,0,1,33.57163,-7.59544,1901178
Rabat,Hassan,Buy,Apartment,4,3,174,0,0,1,33.98664,-6.81452,2148582
Tangier,Centre Ville,Buy,Studio,1,1,53,0,0,1,35.71045,-5.85203,503117
Tangier,Marshane,Rent,Studio,1,1,54,0,0,0,35.7596,-5.83306,3414
Rabat,Océan,Buy,Studio,1,1,45,0,0,1,34.01464,-6.87358,504578
Rabat,Hassan,Buy,Villa,3,4,440,0,1,0,34.03513,-6.86409,7533884
Casablanca,Anfa,Rent,Apartment,2,1,109,0,0,1,33.57795,-7.54885,16734
Marrakech,Guéliz,Buy,Land,0,0,949,0,0,0,31.67071,-7.94599,8163910
Tangier,Marshane,Buy,Apartment,4,2,113,0,0,0,35.78928,-5.81644,958616
Tangier,Moujahidine,Rent,Apartment,4,3,62,0,0,1,35.78067,-5.86917,4731
Tangier,Moujahidine,Buy,Land,0,0,112,0,0,0,35.7635,-5.87742,852147
Rabat,Souissi,Rent,Villa,6,5,751,1,1,1,33.98683,-6.84271,112804
Marrakech,Palmeraie,Buy,Apartment,2,2,115,0,0,0,31.65195,-8.00992,1526326
Tangier,Marshane,Rent,Apartment,4,3,162,0,0,0,35.76683,-5.8528,9101
